UTC time,Latitude,Longitude,Fix Quality,Number of Satellites,HDOP,Altitude
021351.000,4458.622300000001,9311.0652,1.0,8.0,0.9600000000000002,283.80000000000007
021352.000,4458.6224,9311.0656,1.0,8.0,0.9600000000000001,283.8
021353.000,4458.6224,9311.065799999998,1.0,8.0,0.96,283.8
021354.000,4458.622199999999,9311.066399999998,1.0,8.0,0.96,283.8
021355.000,4458.6222,9311.0668,1.0,9.0,0.9099999999999999,283.8
021356.000,4458.6223,9311.0671,1.0,9.0,0.9099999999999999,283.8
021357.000,4458.6222,9311.0674,1.0,9.0,0.91,283.8
021358.000,4458.6222,9311.068,1.0,9.0,0.91,283.8
021359.000,4458.6221,9311.0683,1.0,9.0,0.91,283.8
021400.000,4458.622,9311.0688,1.0,9.0,0.91,283.8
021401.000,4458.6217,9311.0691,1.0,9.0,0.91,283.8
021402.000,4458.6215,9311.0692,1.0,9.0,0.91,283.8
021403.000,4458.6213,9311.0697,1.0,9.0,0.91,283.8
021404.000,4458.621,9311.07,1.0,9.0,0.91,283.8
021405.000,4458.621,9311.0703,1.0,9.0,0.91,283.8
021406.000,4458.6209,9311.0704,1.0,9.0,0.91,283.8
021407.000,4458.6206,9311.0706,1.0,9.0,0.91,283.8
021408.000,4458.6202,9311.0707,1.0,9.0,0.91,283.8
021409.000,4458.6199,9311.0708,1.0,9.0,0.91,283.8
021410.000,4458.6197,9311.0709,1.0,9.0,0.91,283.8
021417.000,4458.6195,9311.071599999997,1.0,9.0,0.91,283.8
021418.000,4458.6195,9311.0717,1.0,9.0,0.91,283.8
021419.000,4458.619399999998,9311.071800000002,1.0,8.0,0.91,283.80000000000007
021420.000,4458.6194,9311.0719,1.0,8.0,0.91,283.8
021421.000,4458.6194,9311.072,1.0,8.0,0.9099999999999999,283.8
021422.000,4458.6194,9311.0721,1.0,8.0,0.91,283.8
021423.000,4458.6194,9311.0721,1.0,8.0,0.91,283.8
021424.000,4458.619299999999,9311.072199999999,1.0,8.0,0.91,283.80000000000007
021425.000,4458.6193,9311.0722,1.0,9.0,0.91,283.8
021426.000,4458.6193,9311.0722,1.0,9.0,0.91,283.8
021427.000,4458.6193,9311.0722,1.0,9.0,0.91,283.8
021428.000,4458.6193,9311.0722,1.0,9.0,0.91,283.8
021429.000,4458.6193,9311.0722,1.0,9.0,0.91,283.9
021430.000,4458.6193,9311.0721,1.0,8.0,1.03,283.9
021431.000,4458.6193,9311.0721,1.0,8.0,1.03,283.9
